Platform,Year_of_Release,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS3,2013.0,Action,0.1,0.1,0.0,0.04,0.24
X360,2011.0,Misc,0.16,0.06,0.0,0.02,0.24
GBA,2004.0,Action,0.17,0.06,0.0,0.0,0.24
DS,2008.0,Role-Playing,0.11,0.0,0.12,0.01,0.24
GBA,2004.0,Adventure,0.17,0.06,0.0,0.0,0.24
Wii,2008.0,Action,0.13,0.03,0.06,0.01,0.24
Wii,2010.0,Action,0.12,0.09,0.0,0.02,0.24
PS2,2003.0,Misc,0.12,0.09,0.0,0.03,0.24
PS,1998.0,Action,0.13,0.09,0.0,0.02,0.24
PSP,2007.0,Action,0.22,0.0,0.0,0.02,0.24
PS3,2011.0,Action,0.14,0.07,0.0,0.03,0.24
PS2,2004.0,Role-Playing,0.12,0.09,0.0,0.03,0.24
PSP,2007.0,Racing,0.03,0.14,0.0,0.07,0.24
PS3,2007.0,Action,0.18,0.04,0.0,0.03,0.24
PSP,2013.0,Misc,0.0,0.0,0.24,0.0,0.24
PSP,2005.0,Misc,0.21,0.0,0.0,0.02,0.24
PS4,2014.0,Sports,0.16,0.04,0.0,0.04,0.24
Wii,2011.0,Misc,0.21,0.01,0.0,0.01,0.24
PS,1995.0,Sports,0.13,0.09,0.0,0.02,0.24
PSP,2010.0,Platform,0.1,0.09,0.0,0.05,0.24
PS,2000.0,Action,0.13,0.09,0.0,0.02,0.24
DS,2008.0,Adventure,0.13,0.08,0.0,0.02,0.24
PS3,2012.0,Adventure,0.05,0.14,0.0,0.04,0.24
3DS,2015.0,Action,0.0,0.0,0.24,0.0,0.24
X360,2014.0,Action,0.1,0.11,0.0,0.02,0.24
PS,2000.0,Shooter,0.13,0.09,0.0,0.02,0.24
X360,2009.0,Action,0.16,0.01,0.04,0.02,0.24
X,2006.0,Sports,0.18,0.05,0.0,0.01,0.24
X360,2009.0,Action,0.17,0.05,0.0,0.02,0.24
PSP,2013.0,Role-Playing,0.0,0.0,0.24,0.0,0.24
PS3,2012.0,Role-Playing,0.1,0.1,0.0,0.03,0.24
GBA,2003.0,Action,0.17,0.06,0.0,0.0,0.24
Wii,2008.0,Sports,0.02,0.21,0.0,0.01,0.24
X360,2011.0,Action,0.18,0.04,0.0,0.02,0.24
PS,1998.0,Misc,0.13,0.09,0.0,0.02,0.24
X360,2009.0,Role-Playing,0.16,0.06,0.0,0.02,0.24
3DS,2016.0,Action,0.0,0.0,0.24,0.0,0.24
X360,2006.0,Action,0.2,0.02,0.0,0.02,0.24
PC,2011.0,Puzzle,0.0,0.18,0.0,0.05,0.24
2600,1988.0,Action,0.22,0.01,0.0,0.0,0.24
X360,2011.0,Misc,0.16,0.05,0.0,0.02,0.24
2600,1981.0,Shooter,0.22,0.01,0.0,0.0,0.24
PS3,2011.0,Misc,0.15,0.06,0.0,0.03,0.24
PS3,2010.0,Sports,0.06,0.13,0.0,0.04,0.24
Wii,2007.0,Sports,0.19,0.0,0.03,0.02,0.24
PSP,2009.0,Sports,0.12,0.07,0.0,0.05,0.24
DS,2009.0,Simulation,0.15,0.06,0.0,0.02,0.24
X360,2009.0,Action,0.16,0.05,0.0,0.02,0.24
PS3,2010.0,Role-Playing,0.08,0.01,0.13,0.01,0.24
PS3,2016.0,Action,0.06,0.14,0.0,0.04,0.24
PS3,2012.0,Simulation,0.1,0.08,0.02,0.03,0.24
PS2,2007.0,Racing,0.12,0.09,0.0,0.03,0.24
Wii,2009.0,Adventure,0.11,0.1,0.0,0.02,0.24
X360,2009.0,Role-Playing,0.18,0.04,0.0,0.02,0.24
PS3,2009.0,Action,0.19,0.03,0.0,0.02,0.23
PC,2011.0,Role-Playing,0.16,0.06,0.0,0.02,0.23
DS,2006.0,Role-Playing,0.22,0.0,0.0,0.02,0.23
Wii,2010.0,Action,0.1,0.11,0.0,0.02,0.23
PS2,2003.0,Platform,0.11,0.09,0.0,0.03,0.23
PS2,2004.0,Misc,0.11,0.09,0.0,0.03,0.23
DS,2009.0,Puzzle,0.22,0.0,0.0,0.02,0.23
DS,2010.0,Simulation,0.0,0.0,0.23,0.0,0.23
DS,2009.0,Adventure,0.21,0.01,0.0,0.02,0.23
PS2,2006.0,Action,0.0,0.0,0.23,0.0,0.23
PS,1998.0,Fighting,0.13,0.09,0.0,0.02,0.23
Wii,2009.0,Misc,0.0,0.22,0.0,0.02,0.23
PSP,2009.0,Racing,0.18,0.03,0.0,0.03,0.23
PS2,2002.0,Racing,0.11,0.09,0.0,0.03,0.23
GBA,2003.0,Strategy,0.0,0.0,0.23,0.01,0.23
X,2003.0,Racing,0.18,0.05,0.0,0.01,0.23
X,2002.0,Action,0.18,0.05,0.0,0.01,0.23
X,2005.0,Action,0.18,0.05,0.0,0.01,0.23
DS,2005.0,Action,0.2,0.01,0.0,0.02,0.23
DS,2008.0,Role-Playing,0.09,0.0,0.13,0.01,0.23
X360,2007.0,Misc,0.19,0.02,0.0,0.02,0.23
Wii,2008.0,Misc,0.19,0.03,0.0,0.02,0.23
PSV,2014.0,Action,0.02,0.02,0.18,0.01,0.23
DC,1999.0,Sports,0.0,0.0,0.23,0.0,0.23
PSV,2012.0,Action,0.11,0.05,0.04,0.03,0.23
PS4,2016.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
DS,2008.0,Misc,0.22,0.0,0.0,0.02,0.23
PS3,2011.0,Sports,0.17,0.03,0.0,0.03,0.23
DS,2009.0,Puzzle,0.0,0.23,0.0,0.0,0.23
PS4,2015.0,Action,0.11,0.09,0.0,0.04,0.23
DS,2008.0,Simulation,0.22,0.0,0.0,0.02,0.23
X,2002.0,Sports,0.17,0.05,0.0,0.01,0.23
PS3,2013.0,Action,0.0,0.0,0.23,0.0,0.23
PS2,2004.0,Racing,0.11,0.09,0.0,0.03,0.23
X,2003.0,Racing,0.17,0.05,0.0,0.01,0.23
PSV,2012.0,Misc,0.0,0.0,0.23,0.0,0.23
PS2,2001.0,Racing,0.11,0.09,0.0,0.03,0.23
X360,2009.0,Misc,0.22,0.0,0.0,0.02,0.23
PS2,2002.0,Action,0.11,0.09,0.0,0.03,0.23
DS,2011.0,Misc,0.13,0.07,0.0,0.02,0.23
3DS,2015.0,Action,0.05,0.12,0.05,0.01,0.23
PS2,2006.0,Sports,0.0,0.0,0.23,0.0,0.23
PS3,2008.0,Shooter,0.14,0.07,0.0,0.03,0.23
PS2,2005.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
DS,2005.0,Puzzle,0.15,0.01,0.06,0.01,0.23
N64,2000.0,Sports,0.22,0.01,0.0,0.0,0.23
GC,2003.0,Action,0.18,0.05,0.0,0.01,0.23
GC,2002.0,Shooter,0.18,0.05,0.0,0.01,0.23
PS2,2003.0,Sports,0.11,0.09,0.0,0.03,0.23
G,1997.0,Simulation,0.0,0.0,0.23,0.0,0.23
X360,2012.0,Racing,0.08,0.13,0.0,0.02,0.23
XOne,2015.0,Role-Playing,0.14,0.07,0.0,0.02,0.23
Wii,2010.0,Sports,0.09,0.12,0.0,0.02,0.23
X,2005.0,Action,0.17,0.05,0.0,0.01,0.23
PS2,2002.0,Sports,0.11,0.09,0.0,0.03,0.23
PS,1998.0,Fighting,0.13,0.09,0.0,0.02,0.23
SAT,1995.0,Fighting,0.0,0.0,0.23,0.0,0.23
SAT,1996.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
WiiU,2013.0,Misc,0.05,0.06,0.12,0.01,0.23
GC,2002.0,Platform,0.18,0.05,0.0,0.01,0.23
DS,2008.0,Sports,0.21,0.0,0.0,0.02,0.23
Wii,2006.0,Sports,0.21,0.0,0.0,0.02,0.23
Wii,2009.0,Sports,0.0,0.22,0.0,0.01,0.23
PS3,2008.0,Role-Playing,0.14,0.02,0.05,0.02,0.23
Wii,2007.0,Racing,0.21,0.0,0.0,0.02,0.23
PS,2001.0,Shooter,0.13,0.09,0.0,0.02,0.23
Wii,2010.0,Action,0.17,0.05,0.0,0.02,0.23
PS,2000.0,Sports,0.13,0.09,0.0,0.02,0.23
PS3,2009.0,Sports,0.21,0.0,0.0,0.02,0.23
X360,2011.0,Action,0.2,0.02,0.0,0.02,0.23
DS,2010.0,Puzzle,0.11,0.1,0.0,0.02,0.23
GBA,2005.0,Misc,0.17,0.06,0.0,0.0,0.23
PS2,2002.0,Shooter,0.11,0.09,0.0,0.03,0.23
Wii,2007.0,Action,0.21,0.01,0.0,0.02,0.23
PS,1998.0,Simulation,0.13,0.09,0.0,0.02,0.23
PS3,2008.0,Action,0.12,0.08,0.0,0.03,0.23
PC,2012.0,Shooter,0.12,0.09,0.0,0.02,0.23
DS,2010.0,Adventure,0.07,0.14,0.0,0.03,0.23
GBA,2005.0,Sports,0.17,0.06,0.0,0.0,0.23
Wii,2010.0,Adventure,0.15,0.06,0.0,0.02,0.23
NG,1994.0,Fighting,0.0,0.0,0.23,0.0,0.23
PC,2004.0,Shooter,0.07,0.14,0.0,0.02,0.23
PSP,2006.0,Role-Playing,0.15,0.01,0.04,0.02,0.23
PSP,2011.0,Sports,0.21,0.0,0.0,0.02,0.23
PS4,2016.0,Role-Playing,0.09,0.04,0.08,0.03,0.23
Wii,2008.0,Misc,0.2,0.01,0.0,0.02,0.23
PS,1996.0,Action,0.13,0.09,0.0,0.02,0.23
PS4,2015.0,Fighting,0.0,0.16,0.05,0.03,0.23
X360,2005.0,Action,0.21,0.01,0.0,0.02,0.23
PS3,2007.0,Racing,0.15,0.05,0.0,0.03,0.23
PS2,2010.0,Sports,0.11,0.09,0.0,0.03,0.23
3DS,2011.0,Misc,0.22,0.0,0.0,0.01,0.23
PS3,2012.0,Sports,0.09,0.1,0.0,0.04,0.23
X,2004.0,Action,0.17,0.05,0.0,0.01,0.23
PS4,2015.0,Racing,0.04,0.13,0.03,0.03,0.23
PS4,2016.0,Role-Playing,0.07,0.03,0.1,0.02,0.23
X360,2009.0,Action,0.13,0.06,0.02,0.02,0.23
PS2,2001.0,Sports,0.11,0.09,0.0,0.03,0.23
GBA,2002.0,Platform,0.16,0.06,0.0,0.0,0.23
Wii,2008.0,Misc,0.17,0.04,0.0,0.02,0.23
WiiU,2012.0,Action,0.13,0.07,0.01,0.02,0.23
PSP,2005.0,Puzzle,0.13,0.01,0.08,0.0,0.23
PS3,2012.0,Adventure,0.19,0.01,0.0,0.03,0.23
PSP,2012.0,Adventure,0.0,0.0,0.23,0.0,0.23
G,1992.0,Puzzle,0.0,0.0,0.23,0.0,0.23
PS2,2003.0,Sports,0.0,0.0,0.23,0.0,0.23
PS4,2016.0,Role-Playing,0.08,0.06,0.05,0.03,0.23
PS3,2009.0,Action,0.0,0.0,0.23,0.0,0.23
PS3,2011.0,Misc,0.13,0.06,0.0,0.04,0.23
PS2,2007.0,Misc,0.11,0.09,0.0,0.03,0.23
DS,2008.0,Simulation,0.2,0.01,0.0,0.02,0.23
PS2,2005.0,Action,0.11,0.09,0.0,0.03,0.23
PSP,2009.0,Adventure,0.0,0.0,0.23,0.0,0.23
PS,1997.0,Action,0.13,0.09,0.0,0.01,0.23
GBA,2007.0,Adventure,0.16,0.06,0.0,0.0,0.23
PSP,2009.0,Fighting,0.0,0.0,0.23,0.0,0.23
3DS,2014.0,Action,0.11,0.02,0.08,0.01,0.23
DS,2008.0,Sports,0.0,0.0,0.23,0.0,0.23
Wii,2010.0,Racing,0.09,0.11,0.0,0.02,0.23
GBA,2004.0,Role-Playing,0.16,0.06,0.0,0.0,0.23
PS2,2003.0,Racing,0.11,0.09,0.0,0.03,0.23
SNES,1996.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
PS4,2015.0,Action,0.09,0.1,0.0,0.04,0.23
X,2003.0,Shooter,0.17,0.05,0.0,0.01,0.23
Wii,2009.0,Adventure,0.21,0.0,0.0,0.02,0.23
X,2003.0,Shooter,0.17,0.05,0.0,0.01,0.23
PS2,2007.0,Adventure,0.11,0.09,0.0,0.03,0.23
DS,2006.0,Role-Playing,0.17,0.01,0.04,0.01,0.23
3DS,2011.0,Fighting,0.15,0.06,0.0,0.02,0.23
DS,2007.0,Racing,0.21,0.0,0.0,0.02,0.23
DS,2005.0,Fighting,0.0,0.0,0.23,0.0,0.23
Wii,2007.0,Fighting,0.19,0.02,0.0,0.02,0.23
PS2,2006.0,Role-Playing,0.06,0.05,0.1,0.02,0.23
PS,1997.0,Role-Playing,0.13,0.09,0.0,0.01,0.23
PS3,2010.0,Sports,0.0,0.0,0.23,0.0,0.23
WiiU,2012.0,Sports,0.21,0.0,0.0,0.02,0.23
PS2,2008.0,Action,0.11,0.09,0.0,0.03,0.23
SNES,1991.0,Shooter,0.0,0.0,0.23,0.0,0.23
PS,1998.0,Action,0.13,0.09,0.0,0.01,0.23
PS3,2009.0,Adventure,0.14,0.06,0.0,0.03,0.23
PS,1999.0,Strategy,0.0,0.0,0.21,0.01,0.23
3DS,2011.0,Racing,0.21,0.0,0.0,0.02,0.23
PS2,2003.0,Sports,0.11,0.09,0.0,0.03,0.23
GC,2002.0,Sports,0.18,0.05,0.0,0.01,0.23
PS2,2003.0,Shooter,0.11,0.09,0.0,0.03,0.23
PS,1995.0,Shooter,0.06,0.04,0.12,0.01,0.23
DS,2008.0,Simulation,0.21,0.0,0.0,0.01,0.23
PSP,2005.0,Misc,0.2,0.01,0.0,0.02,0.23
PS,1997.0,Fighting,0.06,0.04,0.12,0.01,0.23
Wii,2010.0,Adventure,0.15,0.06,0.0,0.02,0.23
PSP,2005.0,Sports,0.19,0.02,0.0,0.02,0.23
X,2004.0,Misc,0.17,0.05,0.0,0.01,0.23
PS2,2006.0,Role-Playing,0.11,0.09,0.0,0.03,0.23
3DS,2012.0,Adventure,0.13,0.02,0.06,0.01,0.23
PSP,2008.0,Sports,0.21,0.0,0.0,0.02,0.23
Wii,2007.0,Sports,0.21,0.0,0.0,0.02,0.23
PSV,2012.0,Misc,0.09,0.09,0.01,0.04,0.23
PS3,2011.0,Role-Playing,0.14,0.0,0.07,0.02,0.23
PSP,2009.0,Role-Playing,0.14,0.0,0.08,0.02,0.23
PS2,2003.0,Sports,0.11,0.09,0.0,0.03,0.23
DS,2007.0,Sports,0.2,0.01,0.0,0.02,0.23
PS2,2004.0,Adventure,0.11,0.09,0.0,0.03,0.23
Wii,2010.0,Sports,0.21,0.0,0.0,0.01,0.23
X360,2008.0,Misc,0.21,0.0,0.0,0.02,0.23
Wii,2010.0,Sports,0.14,0.07,0.0,0.02,0.23
PS2,2007.0,Misc,0.11,0.09,0.0,0.03,0.23
PSP,2008.0,Role-Playing,0.09,0.0,0.12,0.01,0.23
G,1996.0,Puzzle,0.0,0.0,0.23,0.0,0.23
PSV,2013.0,Role-Playing,0.1,0.0,0.1,0.02,0.23
PS3,2011.0,Action,0.0,0.09,0.11,0.02,0.23
PS2,2002.0,Sports,0.11,0.09,0.0,0.03,0.23
PS,1998.0,Fighting,0.0,0.0,0.21,0.01,0.23
DS,2006.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
DS,2008.0,Racing,0.18,0.03,0.0,0.02,0.23
PS3,2014.0,Role-Playing,0.0,0.0,0.23,0.0,0.23
PS,1997.0,Platform,0.13,0.09,0.0,0.01,0.23
X360,2010.0,Sports,0.08,0.12,0.0,0.02,0.23
PS2,2002.0,Sports,0.11,0.09,0.0,0.03,0.23
PS2,2003.0,Action,0.11,0.09,0.0,0.03,0.23
DS,2010.0,Misc,0.16,0.05,0.0,0.02,0.23
PS3,2013.0,Action,0.12,0.03,0.05,0.03,0.23
X360,2014.0,Racing,0.08,0.13,0.0,0.02,0.23
PS2,2002.0,Action,0.11,0.09,0.0,0.03,0.22
PS3,2011.0,Action,0.0,0.0,0.22,0.0,0.22
PS2,2008.0,Fighting,0.1,0.0,0.0,0.12,0.22
3DS,2016.0,Platform,0.15,0.0,0.05,0.02,0.22
GC,2004.0,Fighting,0.17,0.05,0.0,0.01,0.22
Wii,2013.0,Misc,0.11,0.1,0.0,0.02,0.22
DS,2009.0,Puzzle,0.0,0.2,0.0,0.02,0.22
PSP,2013.0,Role-Playing,0.0,0.0,0.22,0.0,0.22
PS2,2005.0,Action,0.11,0.09,0.0,0.03,0.22
XOne,2016.0,Shooter,0.16,0.04,0.0,0.02,0.22
Wii,2008.0,Puzzle,0.18,0.02,0.0,0.02,0.22
GBA,2001.0,Misc,0.16,0.06,0.0,0.0,0.22
Wii,2008.0,Adventure,0.19,0.02,0.0,0.02,0.22
Wii,2007.0,Sports,0.21,0.0,0.0,0.02,0.22
Wii,2010.0,Sports,0.21,0.0,0.0,0.01,0.22
N64,1997.0,Misc,0.0,0.0,0.22,0.0,0.22
PSV,2011.0,Action,0.13,0.06,0.0,0.03,0.22
GC,2003.0,Misc,0.17,0.04,0.0,0.01,0.22
2600,1981.0,Shooter,0.21,0.01,0.0,0.0,0.22
2600,1981.0,Action,0.21,0.01,0.0,0.0,0.22
2600,1982.0,Action,0.21,0.01,0.0,0.0,0.22
PSP,2007.0,Action,0.0,0.0,0.22,0.0,0.22
3DS,2013.0,Action,0.0,0.0,0.22,0.0,0.22
Wii,2009.0,Misc,0.19,0.01,0.0,0.02,0.22
PSP,2011.0,Action,0.0,0.0,0.22,0.0,0.22
PSP,2006.0,Role-Playing,0.2,0.01,0.0,0.02,0.22
Wii,2008.0,Action,0.2,0.01,0.0,0.02,0.22
X,2004.0,Shooter,0.17,0.05,0.0,0.01,0.22
PSV,2014.0,Role-Playing,0.03,0.04,0.13,0.02,0.22
PS2,2002.0,Sports,0.11,0.09,0.0,0.03,0.22
PS2,2004.0,Shooter,0.11,0.09,0.0,0.03,0.22
PSP,2005.0,Sports,0.2,0.0,0.0,0.02,0.22
PS2,2005.0,Misc,0.0,0.0,0.22,0.0,0.22
PS2,2010.0,Platform,0.13,0.06,0.0,0.04,0.22
Wii,2010.0,Sports,0.07,0.1,0.03,0.02,0.22
GC,2002.0,Role-Playing,0.17,0.04,0.0,0.01,0.22
PS2,2008.0,Racing,0.01,0.0,0.0,0.21,0.22
DS,2010.0,Adventure,0.0,0.11,0.09,0.02,0.22
PS3,2011.0,Action,0.0,0.0,0.22,0.0,0.22
DS,2008.0,Misc,0.19,0.02,0.0,0.02,0.22
WiiU,2014.0,Action,0.09,0.11,0.0,0.02,0.22
PC,2012.0,Role-Playing,0.0,0.19,0.0,0.03,0.22
GBA,2001.0,Role-Playing,0.11,0.04,0.06,0.0,0.22
DS,2008.0,Simulation,0.2,0.0,0.0,0.02,0.22
PS2,2005.0,Racing,0.11,0.09,0.0,0.03,0.22
PSV,2014.0,Action,0.0,0.08,0.12,0.02,0.22
GC,2004.0,Sports,0.17,0.04,0.0,0.01,0.22
GBA,2004.0,Sports,0.16,0.06,0.0,0.0,0.22
GBA,2005.0,Action,0.16,0.06,0.0,0.0,0.22
DS,2009.0,Platform,0.2,0.01,0.0,0.02,0.22
2600,1981.0,Action,0.21,0.01,0.0,0.0,0.22
Wii,2011.0,Racing,0.21,0.0,0.0,0.01,0.22
PSV,2014.0,Action,0.07,0.01,0.12,0.03,0.22
PS3,2011.0,Action,0.13,0.07,0.0,0.03,0.22
Wii,2008.0,Fighting,0.19,0.01,0.0,0.02,0.22
SNES,1992.0,Platform,0.0,0.0,0.22,0.0,0.22
DS,2008.0,Simulation,0.2,0.0,0.0,0.01,0.22
PSP,2008.0,Strategy,0.0,0.03,0.18,0.01,0.22
PS,1998.0,Puzzle,0.12,0.08,0.0,0.01,0.22
PS,1996.0,Sports,0.12,0.08,0.0,0.01,0.22
PC,2015.0,Action,0.11,0.09,0.0,0.02,0.22
PS2,2004.0,Fighting,0.03,0.02,0.17,0.01,0.22
PS2,2002.0,Shooter,0.07,0.06,0.08,0.02,0.22
XOne,2015.0,Strategy,0.15,0.05,0.0,0.02,0.22
PS2,2003.0,Action,0.0,0.0,0.22,0.0,0.22
X360,2014.0,Fighting,0.14,0.06,0.0,0.02,0.22
Wii,2009.0,Misc,0.21,0.0,0.0,0.02,0.22
DS,2011.0,Action,0.15,0.05,0.0,0.02,0.22
DS,2008.0,Adventure,0.21,0.0,0.0,0.02,0.22
Wii,2008.0,Sports,0.2,0.0,0.0,0.02,0.22
GBA,2004.0,Platform,0.16,0.06,0.0,0.0,0.22
DS,2010.0,Puzzle,0.13,0.07,0.0,0.02,0.22
Wii,2006.0,Sports,0.14,0.01,0.07,0.01,0.22
3DS,2016.0,Action,0.08,0.11,0.02,0.02,0.22
PS3,2009.0,Action,0.13,0.06,0.0,0.03,0.22
3DS,2011.0,Platform,0.14,0.07,0.0,0.02,0.22
DS,2008.0,Role-Playing,0.2,0.0,0.0,0.02,0.22
PS,1999.0,Sports,0.12,0.08,0.0,0.01,0.22
PS4,2014.0,Action,0.07,0.1,0.01,0.03,0.22
PS3,2012.0,Role-Playing,0.04,0.13,0.01,0.04,0.22
GBA,2004.0,Misc,0.16,0.06,0.0,0.0,0.22
DS,2006.0,Strategy,0.18,0.02,0.0,0.02,0.22
DS,2006.0,Sports,0.2,0.0,0.0,0.02,0.22
PC,2016.0,Shooter,0.08,0.12,0.0,0.02,0.22
PC,2011.0,Action,0.05,0.14,0.0,0.03,0.22
GBA,2004.0,Misc,0.16,0.06,0.0,0.0,0.22
X360,2014.0,Racing,0.06,0.14,0.0,0.02,0.22
PS3,2010.0,Racing,0.05,0.13,0.0,0.04,0.22
DS,2007.0,Strategy,0.2,0.0,0.0,0.02,0.22
GBA,2004.0,Role-Playing,0.16,0.06,0.0,0.0,0.22
X,2004.0,Action,0.16,0.05,0.0,0.01,0.22
GC,2002.0,Puzzle,0.17,0.04,0.0,0.01,0.22
N64,1999.0,Action,0.18,0.04,0.0,0.0,0.22
N64,2000.0,Action,0.14,0.03,0.05,0.0,0.22
N64,2000.0,Fighting,0.18,0.04,0.0,0.0,0.22
N64,2000.0,Puzzle,0.18,0.04,0.0,0.0,0.22
N64,1996.0,Sports,0.0,0.0,0.22,0.0,0.22
PS4,2013.0,Strategy,0.1,0.08,0.0,0.04,0.22
Wii,2009.0,Role-Playing,0.0,0.0,0.22,0.0,0.22
PS3,2016.0,Action,0.18,0.0,0.0,0.04,0.22
GC,2004.0,Action,0.17,0.04,0.0,0.01,0.22
PSP,2010.0,Sports,0.07,0.0,0.13,0.01,0.22
PS3,2011.0,Shooter,0.09,0.1,0.0,0.04,0.22
PS2,2002.0,Misc,0.11,0.08,0.0,0.03,0.22
Wii,2010.0,Action,0.13,0.07,0.0,0.02,0.22
DS,2008.0,Adventure,0.04,0.0,0.17,0.0,0.22
PS,1996.0,Sports,0.12,0.08,0.0,0.01,0.22
DS,2007.0,Action,0.08,0.0,0.13,0.01,0.22
Wii,2010.0,Strategy,0.1,0.1,0.0,0.02,0.22
Wii,2008.0,Sports,0.19,0.02,0.0,0.02,0.22
DS,2007.0,Shooter,0.2,0.0,0.0,0.02,0.22
PSP,2007.0,Action,0.09,0.08,0.0,0.05,0.22
PC,2016.0,Action,0.05,0.15,0.0,0.02,0.22
X,2002.0,Misc,0.16,0.05,0.0,0.01,0.22
DS,2008.0,Role-Playing,0.1,0.0,0.11,0.01,0.22
PS,1998.0,Sports,0.12,0.08,0.0,0.01,0.22
Wii,2009.0,Racing,0.2,0.0,0.0,0.01,0.22
X,2004.0,Shooter,0.16,0.05,0.0,0.01,0.22
Wii,2011.0,Misc,0.14,0.06,0.0,0.02,0.22
PS,1998.0,Strategy,0.05,0.03,0.12,0.01,0.22
GC,2001.0,Sports,0.17,0.04,0.0,0.01,0.22
PS2,2004.0,Role-Playing,0.11,0.08,0.0,0.03,0.22
PS2,2001.0,Simulation,0.11,0.08,0.0,0.03,0.22
DC,2000.0,Fighting,0.0,0.0,0.22,0.0,0.22
PS3,2009.0,Misc,0.2,0.0,0.0,0.02,0.22
PSP,2007.0,Action,0.03,0.12,0.0,0.07,0.22
DS,2010.0,Action,0.17,0.03,0.0,0.02,0.22
DS,2008.0,Misc,0.0,0.0,0.22,0.0,0.22
GC,2005.0,Action,0.17,0.04,0.0,0.01,0.22
PS2,2009.0,Misc,0.11,0.01,0.0,0.1,0.22
PS2,2001.0,Sports,0.11,0.08,0.0,0.03,0.22
PC,2012.0,Action,0.07,0.13,0.0,0.03,0.22
X360,2008.0,Sports,0.2,0.0,0.0,0.02,0.22
G,1997.0,Puzzle,0.0,0.0,0.22,0.0,0.22
XOne,2014.0,Role-Playing,0.1,0.1,0.0,0.02,0.22
PSP,2009.0,Role-Playing,0.08,0.0,0.13,0.01,0.22
Wii,2010.0,Misc,0.2,0.0,0.0,0.01,0.22
PC,2015.0,Action,0.14,0.06,0.0,0.02,0.22
PS2,2006.0,Role-Playing,0.11,0.08,0.0,0.03,0.22
X360,2009.0,Action,0.11,0.09,0.0,0.02,0.22
DS,2009.0,Simulation,0.14,0.01,0.0,0.06,0.22
XOne,2014.0,Action,0.12,0.08,0.0,0.02,0.22
Wii,2010.0,Adventure,0.12,0.08,0.0,0.02,0.22
PS2,2003.0,Sports,0.11,0.08,0.0,0.03,0.22
GBA,2002.0,Action,0.16,0.06,0.0,0.0,0.22
Wii,2009.0,Action,0.08,0.12,0.0,0.02,0.22
PSP,2005.0,Sports,0.2,0.0,0.0,0.02,0.22
DS,2008.0,Misc,0.19,0.01,0.0,0.02,0.22
X360,2009.0,Strategy,0.15,0.02,0.03,0.01,0.22
GBA,2003.0,Action,0.16,0.06,0.0,0.0,0.22
DS,2007.0,Adventure,0.0,0.0,0.22,0.0,0.22
PS2,2002.0,Racing,0.11,0.08,0.0,0.03,0.22
DS,2009.0,Puzzle,0.01,0.19,0.0,0.02,0.22
PC,2011.0,Action,0.12,0.07,0.0,0.03,0.22
PS2,2006.0,Sports,0.0,0.0,0.22,0.0,0.22
GC,2002.0,Sports,0.17,0.04,0.0,0.01,0.22
PS4,2014.0,Adventure,0.11,0.07,0.0,0.04,0.22
PS,2001.0,Sports,0.12,0.08,0.0,0.01,0.22
DS,2005.0,Platform,0.0,0.0,0.22,0.0,0.22
GBA,2003.0,Platform,0.16,0.06,0.0,0.0,0.22
PS2,2008.0,Sports,0.0,0.0,0.22,0.0,0.22
PS,1999.0,Action,0.12,0.08,0.0,0.01,0.22
PS,1999.0,Racing,0.12,0.08,0.0,0.01,0.22
DS,2006.0,Misc,0.18,0.02,0.0,0.02,0.22
X360,2011.0,Action,0.13,0.06,0.0,0.02,0.22
GC,2004.0,Action,0.17,0.04,0.0,0.01,0.22
SAT,1995.0,Sports,0.0,0.0,0.22,0.0,0.22
Wii,2008.0,Sports,0.0,0.2,0.0,0.01,0.22
GBA,2003.0,Misc,0.15,0.06,0.0,0.0,0.22
GBA,2002.0,Misc,0.15,0.06,0.0,0.0,0.22
X360,2006.0,Shooter,0.19,0.01,0.0,0.02,0.22
GC,2005.0,Action,0.17,0.04,0.0,0.01,0.22
SNES,1993.0,Action,0.0,0.0,0.22,0.0,0.22
XOne,2016.0,Shooter,0.12,0.07,0.0,0.02,0.22
PS4,2015.0,Sports,0.1,0.08,0.0,0.04,0.22
PS2,2002.0,Adventure,0.11,0.08,0.0,0.03,0.22
DS,2008.0,Misc,0.2,0.0,0.0,0.02,0.22
PS3,2008.0,Adventure,0.12,0.0,0.08,0.01,0.22
Wii,2009.0,Action,0.17,0.03,0.0,0.02,0.22
DS,2007.0,Puzzle,0.03,0.17,0.0,0.01,0.22
DS,2010.0,Action,0.17,0.03,0.0,0.02,0.22
PSP,2012.0,Action,0.0,0.0,0.22,0.0,0.22
PSP,2006.0,Role-Playing,0.1,0.03,0.06,0.03,0.22
X360,2006.0,Simulation,0.19,0.01,0.0,0.02,0.21
PS,2000.0,Sports,0.12,0.08,0.0,0.01,0.21
Wii,2009.0,Simulation,0.17,0.02,0.0,0.02,0.21
PS2,2001.0,Sports,0.11,0.08,0.0,0.03,0.21
